Κωδικός,Προϊόν,W%-Μήνας-Ετήσιο,ΔΤΚ,
1111,PYZI,W%0,2,71
1111,PYZI,Ιανουάριος,120,42
1111,PYZI,Φεβρουάριος,118,84
1111,PYZI,Μάρτιος,118,13
1111,PYZI,Απρίλιος,117,17
1111,PYZI,Μάιος,123,48
1111,PYZI,Ιούνιος,127,60
1111,PYZI,Ιούλιος,129,74
1111,PYZI,Αύγουστος,130,81
1111,PYZI,Σεπτέμβριος,129,5
1111,PYZI,Οκτώβριος,127,83
1111,PYZI,Νοέμβριος,128,2
1111,PYZI,Δεκέμβριος,126,62
1111,PYZI,ΕΤΗΣΙΟΣ,124,81
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,W%0,1,66
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,Ιανουάριος,150,23
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,Φεβρουάριος,151,78
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,Μάρτιος,151,40
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,Απρίλιος,143,88
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,Μάιος,155,44
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,Ιούνιος,153,75
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,Ιούλιος,154,50
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,Αύγουστος,150,79
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,Σεπτέμβριος,150,12
