Κωδικός,Προϊόν,W%-Μήνας-Ετήσιο,ΔΤΚ,
1111,PYZI,W%0,2,39
1111,PYZI,Ιανουάριος,104,14
1111,PYZI,Φεβρουάριος,106,50
1111,PYZI,Μάρτιος,108,12
1111,PYZI,Απρίλιος,108,51
1111,PYZI,Μάιος,110,8
1111,PYZI,Ιούνιος,110,26
1111,PYZI,Ιούλιος,111,62
1111,PYZI,Αύγουστος,112,50
1111,PYZI,Σεπτέμβριος,111,26
1111,PYZI,Οκτώβριος,113,24
1111,PYZI,Νοέμβριος,114,93
1111,PYZI,Δεκέμβριος,116,3
1111,PYZI,ΕΤΗΣΙΟΣ,110,6
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,W%0,1,66
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,Ιανουάριος,118,40
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,Φεβρουάριος,122,98
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,Μάρτιος,124,46
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,Απρίλιος,126,42
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,Μάιος,137,10
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,Ιούνιος,142,14
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,Ιούλιος,145,96
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,Αύγουστος,149,40
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,Σεπτέμβριος,154,34
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,Οκτώβριος,154,12
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,Νοέμβριος,150,31
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,Δεκέμβριος,146,49
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,ΕΤΗΣΙΟΣ,139,34
1113,ΨΩΜΙ,W%0,19,21
1113,ΨΩΜΙ,Ιανουάριος,101,56
1113,ΨΩΜΙ,Φεβρουάριος,102,41
1113,ΨΩΜΙ,Μάρτιος,104,50
1113,ΨΩΜΙ,Απρίλιος,109,76
1113,ΨΩΜΙ,Μάιος,113,92
1113,ΨΩΜΙ,Ιούνιος,116,32
1113,ΨΩΜΙ,Ιούλιος,117,78
1113,ΨΩΜΙ,Αύγουστος,118,93
1113,ΨΩΜΙ,Σεπτέμβριος,121,30
1113,ΨΩΜΙ,Οκτώβριος,123,71
1113,ΨΩΜΙ,Νοέμβριος,125,35
1113,ΨΩΜΙ,Δεκέμβριος,126,36
1113,ΨΩΜΙ,ΕΤΗΣΙΟΣ,115,16
1114,ΑΛΛΑ ΠΡΟΪΟΝΤΑ ΑΡΤΟΠΟΙΪΑΣ & ΖΑΧΑΡΟΠΛΑΣΤΙΚΗΣ,W%0,8,7
1114,ΑΛΛΑ ΠΡΟΪΟΝΤΑ ΑΡΤΟΠΟΙΪΑΣ & ΖΑΧΑΡΟΠΛΑΣΤΙΚΗΣ,Ιανουάριος,100,9
1114,ΑΛΛΑ ΠΡΟΪΟΝΤΑ ΑΡΤΟΠΟΙΪΑΣ & ΖΑΧΑΡΟΠΛΑΣΤΙΚΗΣ,Φεβρουάριος,100,87
1114,ΑΛΛΑ ΠΡΟΪΟΝΤΑ ΑΡΤΟΠΟΙΪΑΣ & ΖΑΧΑΡΟΠΛΑΣΤΙΚΗΣ,Μάρτιος,100,33
1114,ΑΛΛΑ ΠΡΟΪΟΝΤΑ ΑΡΤΟΠΟΙΪΑΣ & ΖΑΧΑΡΟΠΛΑΣΤΙΚΗΣ,Απρίλιος,100,0
1114,ΑΛΛΑ ΠΡΟΪΟΝΤΑ ΑΡΤΟΠΟΙΪΑΣ & ΖΑΧΑΡΟΠΛΑΣΤΙΚΗΣ,Μάιος,101,86
1114,ΑΛΛΑ ΠΡΟΪΟΝΤΑ ΑΡΤΟΠΟΙΪΑΣ & ΖΑΧΑΡΟΠΛΑΣΤΙΚΗΣ,Ιούνιος,101,47
1114,ΑΛΛΑ ΠΡΟΪΟΝΤΑ ΑΡΤΟΠΟΙΪΑΣ & ΖΑΧΑΡΟΠΛΑΣΤΙΚΗΣ,Ιούλιος,104,76
1114,ΑΛΛΑ ΠΡΟΪΟΝΤΑ ΑΡΤΟΠΟΙΪΑΣ & ΖΑΧΑΡΟΠΛΑΣΤΙΚΗΣ,Αύγουστος,105,31
1114,ΑΛΛΑ ΠΡΟΪΟΝΤΑ ΑΡΤΟΠΟΙΪΑΣ & ΖΑΧΑΡΟΠΛΑΣΤΙΚΗΣ,Σεπτέμβριος,107,99
1114,ΑΛΛΑ ΠΡΟΪΟΝΤΑ ΑΡΤΟΠΟΙΪΑΣ & ΖΑΧΑΡΟΠΛΑΣΤΙΚΗΣ,Οκτώβριος,107,26
1114,ΑΛΛΑ ΠΡΟΪΟΝΤΑ ΑΡΤΟΠΟΙΪΑΣ & ΖΑΧΑΡΟΠΛΑΣΤΙΚΗΣ,Νοέμβριος,109,73
1114,ΑΛΛΑ ΠΡΟΪΟΝΤΑ ΑΡΤΟΠΟΙΪΑΣ & ΖΑΧΑΡΟΠΛΑΣΤΙΚΗΣ,Δεκέμβριος,109,94
1114,ΑΛΛΑ ΠΡΟΪΟΝΤΑ ΑΡΤΟΠΟΙΪΑΣ & ΖΑΧΑΡΟΠΛΑΣΤΙΚΗΣ,ΕΤΗΣΙΟΣ,104,13
1115,ΠΙΤΣΕΣ ΚΑΙ ΠΙΤΕΣ,W%0,2,51
1115,ΠΙΤΣΕΣ ΚΑΙ ΠΙΤΕΣ,Ιανουάριος,98,66
1115,ΠΙΤΣΕΣ ΚΑΙ ΠΙΤΕΣ,Φεβρουάριος,99,65
1115,ΠΙΤΣΕΣ ΚΑΙ ΠΙΤΕΣ,Μάρτιος,99,90
1115,ΠΙΤΣΕΣ ΚΑΙ ΠΙΤΕΣ,Απρίλιος,100,50
1115,ΠΙΤΣΕΣ ΚΑΙ ΠΙΤΕΣ,Μάιος,103,44
1115,ΠΙΤΣΕΣ ΚΑΙ ΠΙΤΕΣ,Ιούνιος,108,12
1115,ΠΙΤΣΕΣ ΚΑΙ ΠΙΤΕΣ,Ιούλιος,109,80
1115,ΠΙΤΣΕΣ ΚΑΙ ΠΙΤΕΣ,Αύγουστος,111,3
1115,ΠΙΤΣΕΣ ΚΑΙ ΠΙΤΕΣ,Σεπτέμβριος,111,90
1115,ΠΙΤΣΕΣ ΚΑΙ ΠΙΤΕΣ,Οκτώβριος,112,31
1115,ΠΙΤΣΕΣ ΚΑΙ ΠΙΤΕΣ,Νοέμβριος,114,12
1115,ΠΙΤΣΕΣ ΚΑΙ ΠΙΤΕΣ,Δεκέμβριος,112,63
1115,ΠΙΤΣΕΣ ΚΑΙ ΠΙΤΕΣ,ΕΤΗΣΙΟΣ,106,84
1116,ΖΥΜΑΡΙΚΑ,W%0,4,60
1116,ΖΥΜΑΡΙΚΑ,Ιανουάριος,108,98
1116,ΖΥΜΑΡΙΚΑ,Φεβρουάριος,111,33
1116,ΖΥΜΑΡΙΚΑ,Μάρτιος,113,91
1116,ΖΥΜΑΡΙΚΑ,Απρίλιος,109,98
1116,ΖΥΜΑΡΙΚΑ,Μάιος,117,32
1116,ΖΥΜΑΡΙΚΑ,Ιούνιος,117,51
1116,ΖΥΜΑΡΙΚΑ,Ιούλιος,117,24
1116,ΖΥΜΑΡΙΚΑ,Αύγουστος,118,72
1116,ΖΥΜΑΡΙΚΑ,Σεπτέμβριος,119,3
1116,ΖΥΜΑΡΙΚΑ,Οκτώβριος,127,56
1116,ΖΥΜΑΡΙΚΑ,Νοέμβριος,118,42
1116,ΖΥΜΑΡΙΚΑ,Δεκέμβριος,118,89
1116,ΖΥΜΑΡΙΚΑ,ΕΤΗΣΙΟΣ,116,57
1117,ΔΗΜΗΤΡΙΑΚΑ ΓΙΑ ΠΡΩΙΝΟ,W%0,2,52
1117,ΔΗΜΗΤΡΙΑΚΑ ΓΙΑ ΠΡΩΙΝΟ,Ιανουάριος,103,90
1117,ΔΗΜΗΤΡΙΑΚΑ ΓΙΑ ΠΡΩΙΝΟ,Φεβρουάριος,106,96
1117,ΔΗΜΗΤΡΙΑΚΑ ΓΙΑ ΠΡΩΙΝΟ,Μάρτιος,110,93
1117,ΔΗΜΗΤΡΙΑΚΑ ΓΙΑ ΠΡΩΙΝΟ,Απρίλιος,109,28
1117,ΔΗΜΗΤΡΙΑΚΑ ΓΙΑ ΠΡΩΙΝΟ,Μάιος,107,30
1117,ΔΗΜΗΤΡΙΑΚΑ ΓΙΑ ΠΡΩΙΝΟ,Ιούνιος,110,45
1117,ΔΗΜΗΤΡΙΑΚΑ ΓΙΑ ΠΡΩΙΝΟ,Ιούλιος,109,3
1117,ΔΗΜΗΤΡΙΑΚΑ ΓΙΑ ΠΡΩΙΝΟ,Αύγουστος,114,80
1117,ΔΗΜΗΤΡΙΑΚΑ ΓΙΑ ΠΡΩΙΝΟ,Σεπτέμβριος,111,60
1117,ΔΗΜΗΤΡΙΑΚΑ ΓΙΑ ΠΡΩΙΝΟ,Οκτώβριος,108,66
1117,ΔΗΜΗΤΡΙΑΚΑ ΓΙΑ ΠΡΩΙΝΟ,Νοέμβριος,111,59
1117,ΔΗΜΗΤΡΙΑΚΑ ΓΙΑ ΠΡΩΙΝΟ,Δεκέμβριος,116,59
1117,ΔΗΜΗΤΡΙΑΚΑ ΓΙΑ ΠΡΩΙΝΟ,ΕΤΗΣΙΟΣ,110,9
1118,ΑΛΛΑ ΠΡΟΙΟΝΤΑ ΜΕ ΒΑΣΗ ΤΑ ΔΗΜΗΤΡΙΑΚΑ,W%0,0,58
1118,ΑΛΛΑ ΠΡΟΙΟΝΤΑ ΜΕ ΒΑΣΗ ΤΑ ΔΗΜΗΤΡΙΑΚΑ,Ιανουάριος,92,69
1118,ΑΛΛΑ ΠΡΟΙΟΝΤΑ ΜΕ ΒΑΣΗ ΤΑ ΔΗΜΗΤΡΙΑΚΑ,Φεβρουάριος,93,88
1118,ΑΛΛΑ ΠΡΟΙΟΝΤΑ ΜΕ ΒΑΣΗ ΤΑ ΔΗΜΗΤΡΙΑΚΑ,Μάρτιος,96,88
1118,ΑΛΛΑ ΠΡΟΙΟΝΤΑ ΜΕ ΒΑΣΗ ΤΑ ΔΗΜΗΤΡΙΑΚΑ,Απρίλιος,96,39
1118,ΑΛΛΑ ΠΡΟΙΟΝΤΑ ΜΕ ΒΑΣΗ ΤΑ ΔΗΜΗΤΡΙΑΚΑ,Μάιος,101,13
1118,ΑΛΛΑ ΠΡΟΙΟΝΤΑ ΜΕ ΒΑΣΗ ΤΑ ΔΗΜΗΤΡΙΑΚΑ,Ιούνιος,105,83
1118,ΑΛΛΑ ΠΡΟΙΟΝΤΑ ΜΕ ΒΑΣΗ ΤΑ ΔΗΜΗΤΡΙΑΚΑ,Ιούλιος,106,33
1118,ΑΛΛΑ ΠΡΟΙΟΝΤΑ ΜΕ ΒΑΣΗ ΤΑ ΔΗΜΗΤΡΙΑΚΑ,Αύγουστος,107,0
1118,ΑΛΛΑ ΠΡΟΙΟΝΤΑ ΜΕ ΒΑΣΗ ΤΑ ΔΗΜΗΤΡΙΑΚΑ,Σεπτέμβριος,108,48
1118,ΑΛΛΑ ΠΡΟΙΟΝΤΑ ΜΕ ΒΑΣΗ ΤΑ ΔΗΜΗΤΡΙΑΚΑ,Οκτώβριος,106,83
1118,ΑΛΛΑ ΠΡΟΙΟΝΤΑ ΜΕ ΒΑΣΗ ΤΑ ΔΗΜΗΤΡΙΑΚΑ,Νοέμβριος,106,45
1118,ΑΛΛΑ ΠΡΟΙΟΝΤΑ ΜΕ ΒΑΣΗ ΤΑ ΔΗΜΗΤΡΙΑΚΑ,Δεκέμβριος,99,2
1118,ΑΛΛΑ ΠΡΟΙΟΝΤΑ ΜΕ ΒΑΣΗ ΤΑ ΔΗΜΗΤΡΙΑΚΑ,ΕΤΗΣΙΟΣ,101,74
111,ΨΩΜΙ ΚΑΙ ΔΗΜΗΤΡΙΑΚΑ,W%0,41,54
111,ΨΩΜΙ ΚΑΙ ΔΗΜΗΤΡΙΑΚΑ,Ιανουάριος,102,95
111,ΨΩΜΙ ΚΑΙ ΔΗΜΗΤΡΙΑΚΑ,Φεβρουάριος,104,32
111,ΨΩΜΙ ΚΑΙ ΔΗΜΗΤΡΙΑΚΑ,Μάρτιος,105,89
111,ΨΩΜΙ ΚΑΙ ΔΗΜΗΤΡΙΑΚΑ,Απρίλιος,107,91
111,ΨΩΜΙ ΚΑΙ ΔΗΜΗΤΡΙΑΚΑ,Μάιος,111,62
111,ΨΩΜΙ ΚΑΙ ΔΗΜΗΤΡΙΑΚΑ,Ιούνιος,113,44
111,ΨΩΜΙ ΚΑΙ ΔΗΜΗΤΡΙΑΚΑ,Ιούλιος,115,0
111,ΨΩΜΙ ΚΑΙ ΔΗΜΗΤΡΙΑΚΑ,Αύγουστος,116,41
111,ΨΩΜΙ ΚΑΙ ΔΗΜΗΤΡΙΑΚΑ,Σεπτέμβριος,118,9
111,ΨΩΜΙ ΚΑΙ ΔΗΜΗΤΡΙΑΚΑ,Οκτώβριος,119,87
111,ΨΩΜΙ ΚΑΙ ΔΗΜΗΤΡΙΑΚΑ,Νοέμβριος,120,43
111,ΨΩΜΙ ΚΑΙ ΔΗΜΗΤΡΙΑΚΑ,Δεκέμβριος,121,0
111,ΨΩΜΙ ΚΑΙ ΔΗΜΗΤΡΙΑΚΑ,ΕΤΗΣΙΟΣ,113,8
1121,ΜΟΣΧΑΡΙ,W%0,14,48
1121,ΜΟΣΧΑΡΙ,Ιανουάριος,106,25
1121,ΜΟΣΧΑΡΙ,Φεβρουάριος,107,52
1121,ΜΟΣΧΑΡΙ,Μάρτιος,108,18
1121,ΜΟΣΧΑΡΙ,Απρίλιος,115,12
1121,ΜΟΣΧΑΡΙ,Μάιος,116,7
1121,ΜΟΣΧΑΡΙ,Ιούνιος,116,83
1121,ΜΟΣΧΑΡΙ,Ιούλιος,118,75
1121,ΜΟΣΧΑΡΙ,Αύγουστος,120,53
1121,ΜΟΣΧΑΡΙ,Σεπτέμβριος,121,14
1121,ΜΟΣΧΑΡΙ,Οκτώβριος,122,14
1121,ΜΟΣΧΑΡΙ,Νοέμβριος,123,81
1121,ΜΟΣΧΑΡΙ,Δεκέμβριος,126,51
1121,ΜΟΣΧΑΡΙ,ΕΤΗΣΙΟΣ,116,9
1122,XOIPINO,W%0,6,42
1122,XOIPINO,Ιανουάριος,103,17
1122,XOIPINO,Φεβρουάριος,102,25
1122,XOIPINO,Μάρτιος,103,39
1122,XOIPINO,Απρίλιος,110,11
1122,XOIPINO,Μάιος,113,23
1122,XOIPINO,Ιούνιος,114,80
1122,XOIPINO,Ιούλιος,113,70
1122,XOIPINO,Αύγουστος,115,49
1122,XOIPINO,Σεπτέμβριος,116,53
1122,XOIPINO,Οκτώβριος,117,85
1122,XOIPINO,Νοέμβριος,118,21
1122,XOIPINO,Δεκέμβριος,121,4
1122,XOIPINO,ΕΤΗΣΙΟΣ,112,48
1123,APNI & KATΣΙΚΙ,W%0,4,78
1123,APNI & KATΣΙΚΙ,Ιανουάριος,119,74
1123,APNI & KATΣΙΚΙ,Φεβρουάριος,116,38
1123,APNI & KATΣΙΚΙ,Μάρτιος,119,21
1123,APNI & KATΣΙΚΙ,Απρίλιος,143,90
1123,APNI & KATΣΙΚΙ,Μάιος,137,82
1123,APNI & KATΣΙΚΙ,Ιούνιος,135,19
1123,APNI & KATΣΙΚΙ,Ιούλιος,134,60
1123,APNI & KATΣΙΚΙ,Αύγουστος,134,36
1123,APNI & KATΣΙΚΙ,Σεπτέμβριος,138,30
1123,APNI & KATΣΙΚΙ,Οκτώβριος,141,5
1123,APNI & KATΣΙΚΙ,Νοέμβριος,142,60
1123,APNI & KATΣΙΚΙ,Δεκέμβριος,142,12
1123,APNI & KATΣΙΚΙ,ΕΤΗΣΙΟΣ,133,77
1124,ΠΟΥΛΕΡΙΚΑ,W%0,7,63
1124,ΠΟΥΛΕΡΙΚΑ,Ιανουάριος,99,49
1124,ΠΟΥΛΕΡΙΚΑ,Φεβρουάριος,100,16
1124,ΠΟΥΛΕΡΙΚΑ,Μάρτιος,103,58
