,1995,,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees
"Insurance, reinsurance and pension funding, except compulsory social security",7.631,7.631,7.218,7.218,7.149,7.149,7.14,7.14,7.404,7.404,8.144,8.144,8.316,8.316,7.692,7.692,8.167,8.167,8.338,8.338,9.156,9.156,8.572,8.572,9.014,9.014,8.788,8.788,8.271,8.271,7.449,7.449,7.526,7.526,6.81,6.81,7.018,7.018,6.924,6.924,6.777,6.777,6.745,6.745,6.722,6.722,6.808,6.808,6.633,6.633,8.721,8.721,8.652,8.652,8.408,8.408,8.591,8.591
Activities auxiliary to financial services and insurance activities,25.72,13.836,23.416,12.597,23.199,12.661,26.226,14.313,27.559,19.224,31.187,20.795,32.493,23.133,27.967,19.525,26.978,18.159,28.362,17.314,29.543,17.726,31.036,18.622,26.249,15.75,26.18,15.708,27.109,16.266,25.731,14.76,27.665,15.869,29.232,16.768,28.403,16.293,27.663,15.65,29.316,14.191,29.527,14.62,25.882,11.741,27.86,13.955,28.89,14.786,28.816,14.724,30.056,15.37,30.519,15.613,31.737,16.607
Real estate activities,3.513,1.476,3.879,1.637,3.401,1.486,4.258,1.863,3.132,1.293,3.531,1.54,4.173,1.379,7.001,2.413,4.795,3.654,7.741,4.622,6.746,4.238,7.179,4.572,7.408,4.714,10.741,6.27,10.821,6.048,12.333,6.536,12.048,7.015,13.286,7.806,13.894,8.91,14.75,10.116,15.156,10.282,17.848,12.31,17.912,12.457,19.766,15.829,22.49,17.84,23.167,15.914,25.075,16.838,27.305,18.856,27.982,19.792
"Legal and accounting activities, activities of head offices; management consultancy activities",76.752,28.618,74.366,27.753,76.808,28.399,89.478,33.084,91.629,35.298,92.65,35.692,101.155,40.382,108.724,42.782,111.523,44.884,123.237,51.194,125.057,57.89,124.722,60.161,123.541,59.591,124.629,59.879,128.612,62.132,130.38,57.832,129.678,54.813,130.541,57.231,139.01,63.44,152.024,76.854,138.582,65.153,139.44,68.389,135.306,67.55,146.551,74.398,148.342,77.384,149.186,78.737,160.552,88.36,161.458,89.603,162.786,94.26
Architecture and engineering activities,43.857,17.495,42.497,16.966,43.854,17.362,51.087,20.225,52.525,21.579,53.111,21.82,58.195,24.687,62.457,26.154,64.213,27.439,71.193,31.297,72.513,30.119,81.145,34.862,81.729,35.113,89.05,34.165,84.212,29.152,77.367,23.719,78.793,26.221,91.27,28.161,93.637,31.677,99.159,32.186,86.781,33.437,83.655,32.839,72.668,27.331,73.055,31.802,71.072,28.48,74.845,28.163,79.601,29.641,81.398,32.338,85.838,34.751
Scientific research and development,3.768,2.594,3.946,2.716,3.866,2.661,4.624,3.183,5.326,3.666,5.178,3.564,3.704,2.546,2.636,1.548,4.552,3.082,5.097,3.451,10.566,8.022,11.402,8.657,12.525,9.629,15.575,12.01,15.774,12.491,11.505,8.137,10.569,7.127,12.315,8.011,13.605,9.169,16.908,11.014,17.445,11.229,14.812,10.278,14.299,10.295,15.496,11.901,17.399,12.75,17.054,11.113,20.01,13.103,20.451,13.096,21.995,14.133
Advertising and market research,8.006,5.877,7.758,5.7,8.015,5.833,9.336,6.795,9.55,7.249,9.657,7.33,10.534,8.294,11.326,8.786,11.611,9.218,12.82,10.514,13.269,10.463,15.273,12.043,16.305,10.649,16.844,11.19,18.228,12.665,17.916,12.308,17.463,12.148,16.687,11.01,15.867,11.27,17.984,13.115,17.496,12.877,16.859,12.592,15.424,11.533,16.832,13.35,16.384,12.605,15.73,11.709,18.381,13.884,18.725,14.062,19.027,14.785
"Other professional, scientific, technical and veterinary activities",15.066,4.527,14.671,4.444,15.118,4.529,17.523,5.21,17.941,5.554,18.101,5.577,19.618,6.238,21.038,6.597,21.555,6.893,23.87,7.862,24.761,10.166,23.209,9.601,21.161,10.126,22.11,10.561,23.639,12.566,26.109,13.551,25.239,12.812,23.854,12.178,21.042,11.391,18.257,9.201,16.794,9.228,17.403,10.03,18.478,11.173,19.083,9.102,18.927,8.602,17.37,9.159,19.25,10.256,19.98,10.557,18.699,9.222
Rental and leasing activities,8.246,2.941,7.472,2.536,6.346,2.197,9.404,3.256,7.163,3.445,5.508,1.904,6.938,2.4,8.327,2.422,9.967,2.869,13.379,4.819,13.244,5.95,11.878,5.135,12.489,5.514,13.748,5.774,13.3,5.593,14.008,5.891,14.301,6.15,12.636,6.183,11.757,5.902,13.621,8.003,11.592,6.703,13.319,8.733,13.16,8.612,15.138,10.754,16.94,12.152,14.35,8.943,17.218,11.298,19.75,13.816,19.172,13.684
Employment activities,3.222,2.759,3.124,2.676,3.208,2.738,3.738,3.19,3.923,3.403,3.967,3.441,4.174,3.612,4.623,4.015,4.649,4.033,4.889,4.249,3.174,2.79,5.102,4.425,4.993,4.591,6.081,5.758,4.803,4.502,4.989,4.731,5.346,5.11,5.932,5.722,6.143,5.944,11.462,11.295,12.394,12.212,15.549,15.392,16.771,16.627,15.389,15.249,17.642,17.473,19.307,19.109,24.205,24.002,25.018,24.783,27.077,26.85
"Travel agency, tour operator and other reservation service activities",14.483,10.128,13.397,9.366,13.56,9.488,14.385,10.066,13.493,9.238,14.206,9.943,15.09,10.52,17.188,13.822,16.019,12.359,16.939,12.031,14.089,10.358,15.009,11.761,15.967,12.566,15.111,11.217,14.754,11.503,14.695,11.698,14.565,11.444,16.303,13.316,18.171,13.906,21.328,16.495,20.696,15.545,20.872,15.667,20.164,16.364,21.97,19.188,22.459,19.506,17.306,14.396,17.616,14.508,20.471,17.235,19.939,16.615
"Security and investigation activities; services to buildings and landscape activities; office administrative, office support and other business support",44.15,35.71,42.979,34.838,43.679,35.002,49.184,39.166,49.969,41.026,50.066,41.146,54.368,46.18,58.536,49.007,59.819,51.189,65.8,58.11,80.723,73.716,64.175,57.717,71.622,63.604,73.136,64.949,75.988,67.482,76.941,64.401,72.757,61.585,72.649,61.494,77.057,64.955,75.358,62.524,74.859,64.135,81.567,71.309,82.545,73.06,83.843,75.134,85.443,76.132,83.968,73.848,89.48,78.435,96.355,84.712,97.844,87.117
Public administration and defence,334.57,334.57,339.446,339.446,334.612,334.612,332.848,332.848,333.194,333.194,363.06,363.06,362.541,362.541,370.787,370.787,372.244,372.244,403.125,403.125,390.549,390.549,422.02,422.02,430.561,430.561,428.411,428.411,420.651,420.651,425.228,425.228,408.851,408.851,384.135,384.135,382.208,382.208,380.345,380.345,382.246,382.246,384.991,384.991,387.147,387.147,392.672,392.672,398.276,398.276,398.354,398.354,394.016,394.016,392.817,392.817,392.849,392.849
Education,261.485,236.417,266.507,240.996,273.361,247.653,282.002,255.371,283.75,260.462,287.364,263.784,293.301,259.02,307.989,283.911,315.853,291.006,349.366,320.672,348.237,319.84,350.61,322.02,352.605,326.478,350.091,325.143,354.514,327.701,350.52,323.648,348.241,322.597,340.886,319.308,334.385,312.97,351.954,328.963,349.884,327.479,353.184,331.832,354.003,330.105,361.658,336.665,364.145,338.495,367.165,340.252,373.709,343.913,376.913,346.707,373.768,344.453
Human health activities,140.859,110.644,147.316,115.716,146.879,115.449,157.875,124.091,161.678,131.032,157.414,126.466,156.826,130.367,162.123,134.771,164.423,136.68,189.937,157.86,187.616,157.462,190.823,158.194,204.766,165.9,204.458,168.283,200.285,164.502,204.973,166.374,204.457,161.88,207.694,161.542,216.19,166.996,216.819,164.095,208.368,155.849,214.86,161.31,216.526,162.188,218.275,166.218,227.455,174.555,239.853,185.677,251.869,194.704,253.897,195.203,259.291,199.615
Social work activities,22.79,21.027,23.834,21.991,23.764,21.927,25.542,23.568,26.147,24.164,25.461,23.534,25.355,24.26,26.21,25.079,26.582,25.434,30.708,29.376,30.239,29.052,33.644,31.514,34,32.368,31.134,29.973,33.967,32.782,34.884,33.463,33.739,31.174,31.567,29.411,28.52,26.651,32.574,29.296,35.426,32.915,38.025,35.609,34.689,32.255,40.793,38.559,41.205,38.948,42.018,39.587,44.595,41.902,46.685,43.989,48.208,45.426
"Creative, arts and entertainment activities.
Libraries, archives, museums and other cultural activities
Gambling and betting activities",32.827,24.149,33.257,24.423,32.463,23.86,36.148,26.564,34.527,23.27,33.82,23.716,33.82,23.048,38.821,26.985,38.072,26.079,36.507,25.124,41.841,27.975,41.031,26.499,46.58,31.987,49.743,33.039,44.793,28.429,39.15,25.753,37.855,23.361,38.833,24.15,41.38,25.998,48.233,30.919,42.461,28.996,42.866,30.016,41.847,29.065,45.074,33.081,47.805,35.595,45.703,34.049,44.484,33.431,45.478,34.735,43.347,33.491
Sports activities and amusement and recreation activities,10.928,8.937,11.012,8.997,10.749,8.785,11.974,9.786,11.527,8.934,11.306,8.959,11.328,8.747,12.885,10.136,12.684,9.797,12.279,9.511,13.386,11.389,15.489,13.252,16.508,14.124,16.667,14.18,16.199,13.541,16.836,13.121,16.122,12.847,18.338,13.157,21.825,16.577,23.906,18.806,25.487,20.359,26.269,21.119,27.98,22.788,31.352,26.037,34.745,28.96,36.848,31.304,38.297,33.014,38.14,31.711,36.152,29.751
Activities of membership organizations,20.693,20.693,19.006,19.006,17.736,17.736,20.58,20.58,17.76,17.76,18.302,18.302,20.32,20.32,23.04,23.04,26.427,26.427,24.834,24.834,23.805,23.805,24.545,24.545,23.611,23.611,25.76,25.76,27.2,27.2,34.03,34.03,33.445,33.445,33.432,33.432,34.602,34.602,32.621,32.621,27.743,27.743,29.668,29.668,29.522,29.522,32.07,32.07,34.092,34.092,39.972,39.972,43.957,43.957,44.588,44.588,43.559,43.559
Repair of computers and personal and household goods,11.119,1.901,10.837,1.867,11.355,2.072,11.512,2.094,11.713,2.373,11.912,2.399,12.363,2.64,13.128,2.854,13.213,2.878,13.819,2.976,13.694,3.24,17.661,6.77,17.667,7.595,17.074,6.259,16.535,5.72,13.418,2.513,11.992,3.439,11.609,3.627,11.515,3.686,12.756,3.954,11.776,3.954,11.647,4.881,11.429,4.9,11.79,4.996,11.597,4.732,10.066,3.7,12.791,4.224,13.481,4.296,14.307,4.545
Other personal service activities,70.81,31.389,71.252,31.604,70.451,30.812,72.191,31.57,76.178,32.783,70.388,32.25,68.836,31.574,73.498,33.712,75.669,34.708,81.311,37.296,83.633,42.652,80.262,35.437,83.509,36.871,82.674,36.502,81.787,38.365,78.469,38.239,75.804,36.94,68.166,33.493,63.53,31.2,65.413,32.984,68.491,34.025,68.546,34.231,72.323,38.254,75.275,40.869,76.224,39.436,78.707,39.776,75.095,46.444,75.552,47.512,75.337,48.981
Activities of households as employers of domestic personnel. Undifferentiated goods- and services-producing activities of private households for own use,31.961,30.519,36.817,35.156,38.955,37.198,43.396,41.439,48.208,46.034,49.522,47.288,46.7,44.594,51.947,49.604,55.462,52.96,65.792,62.825,63.535,60.326,65.351,62.029,65.449,62.144,67.692,64.16,75.884,71.735,82.704,78.686,73.611,70.036,56.074,51.793,50.409,46.561,48.518,44.794,46.929,44.329,42.647,39.739,37.369,32.794,34.2,29.401,31.005,27.637,28.28,23.929,23.478,16.28,25.856,17.524,26.416,19.381
Activities of extraterritorial organizations and bodies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,4152.507,2461.262,4132.133,2457.397,4120.746,2465.784,4298.7,2579.072,4308.051,2642.41,4324.316,2682.613,4334.453,2734.331,4440.866,2846.975,4491.122,2899.447,4606.833,3005.567,4652.092,2983.529,4742.951,3070.723,4806.731,3151.036,4867.126,3212.391,4835.998,3186.538,4706.437,3138.25,4505.137,3001.991,4325.833,2850.294,4300.666,2852.695,4453.731,2998.741,4322.573,2978.989,4469.514,3154.022,4446.627,3149.11,4650.344,3377.196,4751.956,3478.726,4629.794,3344.697,4865.559,3534.673,4983.638,3643.533,5044.043,3701.428
