date,energy_mwh,fuel,percentage
2020-12-09 19:00:00,59764,ΑΕΡΙΟ,0.4328278219557062
2020-12-09 19:00:00,42066,ΑΙΟΛΙΚΑ,0.3046538912788424
2020-12-09 19:00:00,-5298,ΚΑΘΑΡΕΣ ΕΙΣΑΓΩΓΕΣ (ΕΙΣΑΓΩΓΕΣ-ΕΞΑΓΩΓΕΣ),-0.0383696171729022
2020-12-09 19:00:00,33466,ΛΙΓΝΙΤΗΣ,0.2423702544938368
2020-12-09 19:00:00,138078,ΣΥΝΟΛΟ,1.0
2020-12-09 19:00:00,8080,ΥΔΡΟΗΛΕΚΤΡΙΚΑ,0.0585176494445168
2020-12-10 19:00:00,60680,ΑΕΡΙΟ,0.4390706290113675
2020-12-10 19:00:00,28211,ΑΙΟΛΙΚΑ,0.2041302161344708
2020-12-10 19:00:00,10953,ΚΑΘΑΡΕΣ ΕΙΣΑΓΩΓΕΣ (ΕΙΣΑΓΩΓΕΣ-ΕΞΑΓΩΓΕΣ),0.0792541298543425
2020-12-10 19:00:00,32936,ΛΙΓΝΙΤΗΣ,0.2383195490625972
2020-12-10 19:00:00,138201,ΣΥΝΟΛΟ,1.0
2020-12-10 19:00:00,5421,ΥΔΡΟΗΛΕΚΤΡΙΚΑ,0.0392254759372218
2020-12-11 19:00:00,63843,ΑΕΡΙΟ,0.4972815927218345
2020-12-11 19:00:00,24573,ΑΙΟΛΙΚΑ,0.1914023554336989
2020-12-11 19:00:00,5320,ΚΑΘΑΡΕΣ ΕΙΣΑΓΩΓΕΣ (ΕΙΣΑΓΩΓΕΣ-ΕΞΑΓΩΓΕΣ),0.0414381854436689
2020-12-11 19:00:00,29776,ΛΙΓΝΙΤΗΣ,0.2319292123629112
2020-12-11 19:00:00,128384,ΣΥΝΟΛΟ,1.0
2020-12-11 19:00:00,4872,ΥΔΡΟΗΛΕΚΤΡΙΚΑ,0.0379486540378863
2020-12-12 19:00:00,60817,ΑΕΡΙΟ,0.4861276527716718
2020-12-12 19:00:00,19428,ΑΙΟΛΙΚΑ,0.1552935534151313
