Sector,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Changes in inventories,-287,-417,-577,-1017,-2835,136,-884,-415,2062,121,1437,4641,2082,3552,-3688,2841,361,-36,1037,1566,1465,1915,-289,2883,2039,2062,6769,10434,3359
Acquisitions less disposals of valuables,79,67,68,76,71,103,214,99,132,133,143,146,531,185,127,279,58,1,-9,24,21,4,4,47,52,18,44,61,167
Compensation of employees,26745,29273,33363,36975,40271,42937,46227,53015,58255,62885,67083,71981,77514,81702,83529,81039,74886,68387,62778,63106,62288,63530,64076,66361,68216,65290,70114,73551,77454
Taxes on production and imports,11576,13097,14743,15649,17534,18676,19585,21198,21887,22706,23898,26961,29548,30720,28080,28734,28159,27367,26765,28892,29412,31196,31578,32238,32653,28114,31783,40003,38853
Taxes on products,10967,12273,13898,14716,16385,17513,18622,20257,20868,21635,22756,25572,28120,28640,25674,26920,25796,24007,22935,22881,22787,24592,24844,26096,26620,22516,25485,33398,32131
Other taxes on production,609,824,845,933,1149,1163,963,941,1019,1071,1142,1389,1428,2080,2406,1814,2363,3360,3830,6011,6625,6604,6734,6142,6033,5598,6298,6605,6722
Subsidies,150,238,55,28,32,13,39,52,251,189,169,80,195,99,234,343,1330,2295,2875,2427,2341,2285,2298,2142,2475,6343,8729,11555,4022
Subsidies on products,2,11,10,12,13,13,16,28,59,69,76,48,61,43,159,292,442,1650,2401,1964,1917,1875,1880,1752,1815,1864,1581,8604,3031
Other subsidies on production,148,227,45,16,19,0,23,24,192,120,93,32,134,56,75,51,888,645,474,463,424,410,418,390,660,4479,7148,2951,991
Property income,39339,38169,34978,38448,38313,37622,30277,28759,28342,29512,30988,36994,50593,63582,46280,40844,40859,32522,24936,22781,19998,18127,18346,17455,19415,17978,19577,25791,43986
