Κωδικός,Προϊόν,W%-Μήνας-Ετήσιο,ΔΤΚ,
1115,ΠΙΤΣΕΣ ΚΑΙ ΠΙΤΕΣ,Φεβρουάριος,95,4
1115,ΠΙΤΣΕΣ ΚΑΙ ΠΙΤΕΣ,Μάρτιος,96,19
1115,ΠΙΤΣΕΣ ΚΑΙ ΠΙΤΕΣ,Απρίλιος,94,91
1115,ΠΙΤΣΕΣ ΚΑΙ ΠΙΤΕΣ,Μάιος,96,85
1115,ΠΙΤΣΕΣ ΚΑΙ ΠΙΤΕΣ,Ιούνιος,94,44
1115,ΠΙΤΣΕΣ ΚΑΙ ΠΙΤΕΣ,Ιούλιος,97,99
1115,ΠΙΤΣΕΣ ΚΑΙ ΠΙΤΕΣ,Αύγουστος,96,81
1115,ΠΙΤΣΕΣ ΚΑΙ ΠΙΤΕΣ,Σεπτέμβριος,98,36
1115,ΠΙΤΣΕΣ ΚΑΙ ΠΙΤΕΣ,Οκτώβριος,97,64
1115,ΠΙΤΣΕΣ ΚΑΙ ΠΙΤΕΣ,Νοέμβριος,96,81
1115,ΠΙΤΣΕΣ ΚΑΙ ΠΙΤΕΣ,Δεκέμβριος,97,78
1115,ΠΙΤΣΕΣ ΚΑΙ ΠΙΤΕΣ,ΕΤΗΣΙΟΣ,96,48
1116,ΖΥΜΑΡΙΚΑ,W%0,4,71
1116,ΖΥΜΑΡΙΚΑ,Ιανουάριος,101,74
1116,ΖΥΜΑΡΙΚΑ,Φεβρουάριος,100,96
1116,ΖΥΜΑΡΙΚΑ,Μάρτιος,99,45
1116,ΖΥΜΑΡΙΚΑ,Απρίλιος,98,66
1116,ΖΥΜΑΡΙΚΑ,Μάιος,100,64
1116,ΖΥΜΑΡΙΚΑ,Ιούνιος,99,22
1116,ΖΥΜΑΡΙΚΑ,Ιούλιος,98,79
1116,ΖΥΜΑΡΙΚΑ,Αύγουστος,97,76
1116,ΖΥΜΑΡΙΚΑ,Σεπτέμβριος,98,97
1116,ΖΥΜΑΡΙΚΑ,Οκτώβριος,102,79
1116,ΖΥΜΑΡΙΚΑ,Νοέμβριος,103,97
1116,ΖΥΜΑΡΙΚΑ,Δεκέμβριος,110,86
1116,ΖΥΜΑΡΙΚΑ,ΕΤΗΣΙΟΣ,101,15
1117,ΔΗΜΗΤΡΙΑΚΑ ΓΙΑ ΠΡΩΙΝΟ,W%0,2,99
1117,ΔΗΜΗΤΡΙΑΚΑ ΓΙΑ ΠΡΩΙΝΟ,Ιανουάριος,106,28
1117,ΔΗΜΗΤΡΙΑΚΑ ΓΙΑ ΠΡΩΙΝΟ,Φεβρουάριος,103,77
1117,ΔΗΜΗΤΡΙΑΚΑ ΓΙΑ ΠΡΩΙΝΟ,Μάρτιος,102,99
1117,ΔΗΜΗΤΡΙΑΚΑ ΓΙΑ ΠΡΩΙΝΟ,Απρίλιος,102,29
1117,ΔΗΜΗΤΡΙΑΚΑ ΓΙΑ ΠΡΩΙΝΟ,Μάιος,100,4
1117,ΔΗΜΗΤΡΙΑΚΑ ΓΙΑ ΠΡΩΙΝΟ,Ιούνιος,102,77
1117,ΔΗΜΗΤΡΙΑΚΑ ΓΙΑ ΠΡΩΙΝΟ,Ιούλιος,106,48
1117,ΔΗΜΗΤΡΙΑΚΑ ΓΙΑ ΠΡΩΙΝΟ,Αύγουστος,98,48
1117,ΔΗΜΗΤΡΙΑΚΑ ΓΙΑ ΠΡΩΙΝΟ,Σεπτέμβριος,99,88
1117,ΔΗΜΗΤΡΙΑΚΑ ΓΙΑ ΠΡΩΙΝΟ,Οκτώβριος,100,42
1117,ΔΗΜΗΤΡΙΑΚΑ ΓΙΑ ΠΡΩΙΝΟ,Νοέμβριος,103,70
1117,ΔΗΜΗΤΡΙΑΚΑ ΓΙΑ ΠΡΩΙΝΟ,Δεκέμβριος,106,31
1117,ΔΗΜΗΤΡΙΑΚΑ ΓΙΑ ΠΡΩΙΝΟ,ΕΤΗΣΙΟΣ,102,78
1118,ΑΛΛΑ ΠΡΟΙΟΝΤΑ ΜΕ ΒΑΣΗ ΤΑ ΔΗΜΗΤΡΙΑΚΑ,W%0,0,55
1118,ΑΛΛΑ ΠΡΟΙΟΝΤΑ ΜΕ ΒΑΣΗ ΤΑ ΔΗΜΗΤΡΙΑΚΑ,Ιανουάριος,91,48
1118,ΑΛΛΑ ΠΡΟΙΟΝΤΑ ΜΕ ΒΑΣΗ ΤΑ ΔΗΜΗΤΡΙΑΚΑ,Φεβρουάριος,91,31
1118,ΑΛΛΑ ΠΡΟΙΟΝΤΑ ΜΕ ΒΑΣΗ ΤΑ ΔΗΜΗΤΡΙΑΚΑ,Μάρτιος,90,12
1118,ΑΛΛΑ ΠΡΟΙΟΝΤΑ ΜΕ ΒΑΣΗ ΤΑ ΔΗΜΗΤΡΙΑΚΑ,Απρίλιος,91,4
1118,ΑΛΛΑ ΠΡΟΙΟΝΤΑ ΜΕ ΒΑΣΗ ΤΑ ΔΗΜΗΤΡΙΑΚΑ,Μάιος,92,77
1118,ΑΛΛΑ ΠΡΟΙΟΝΤΑ ΜΕ ΒΑΣΗ ΤΑ ΔΗΜΗΤΡΙΑΚΑ,Ιούνιος,91,98
1118,ΑΛΛΑ ΠΡΟΙΟΝΤΑ ΜΕ ΒΑΣΗ ΤΑ ΔΗΜΗΤΡΙΑΚΑ,Ιούλιος,91,91
1118,ΑΛΛΑ ΠΡΟΙΟΝΤΑ ΜΕ ΒΑΣΗ ΤΑ ΔΗΜΗΤΡΙΑΚΑ,Αύγουστος,92,38
1118,ΑΛΛΑ ΠΡΟΙΟΝΤΑ ΜΕ ΒΑΣΗ ΤΑ ΔΗΜΗΤΡΙΑΚΑ,Σεπτέμβριος,90,92
1118,ΑΛΛΑ ΠΡΟΙΟΝΤΑ ΜΕ ΒΑΣΗ ΤΑ ΔΗΜΗΤΡΙΑΚΑ,Οκτώβριος,91,38
1118,ΑΛΛΑ ΠΡΟΙΟΝΤΑ ΜΕ ΒΑΣΗ ΤΑ ΔΗΜΗΤΡΙΑΚΑ,Νοέμβριος,91,23
1118,ΑΛΛΑ ΠΡΟΙΟΝΤΑ ΜΕ ΒΑΣΗ ΤΑ ΔΗΜΗΤΡΙΑΚΑ,Δεκέμβριος,87,25
1118,ΑΛΛΑ ΠΡΟΙΟΝΤΑ ΜΕ ΒΑΣΗ ΤΑ ΔΗΜΗΤΡΙΑΚΑ,ΕΤΗΣΙΟΣ,91,15
111,ΨΩΜΙ ΚΑΙ ΔΗΜΗΤΡΙΑΚΑ,W%0,42,30
111,ΨΩΜΙ ΚΑΙ ΔΗΜΗΤΡΙΑΚΑ,Ιανουάριος,98,96
111,ΨΩΜΙ ΚΑΙ ΔΗΜΗΤΡΙΑΚΑ,Φεβρουάριος,98,57
111,ΨΩΜΙ ΚΑΙ ΔΗΜΗΤΡΙΑΚΑ,Μάρτιος,98,41
111,ΨΩΜΙ ΚΑΙ ΔΗΜΗΤΡΙΑΚΑ,Απρίλιος,98,11
111,ΨΩΜΙ ΚΑΙ ΔΗΜΗΤΡΙΑΚΑ,Μάιος,98,43
111,ΨΩΜΙ ΚΑΙ ΔΗΜΗΤΡΙΑΚΑ,Ιούνιος,97,85
111,ΨΩΜΙ ΚΑΙ ΔΗΜΗΤΡΙΑΚΑ,Ιούλιος,98,56
111,ΨΩΜΙ ΚΑΙ ΔΗΜΗΤΡΙΑΚΑ,Αύγουστος,98,23
111,ΨΩΜΙ ΚΑΙ ΔΗΜΗΤΡΙΑΚΑ,Σεπτέμβριος,99,66
111,ΨΩΜΙ ΚΑΙ ΔΗΜΗΤΡΙΑΚΑ,Οκτώβριος,100,40
111,ΨΩΜΙ ΚΑΙ ΔΗΜΗΤΡΙΑΚΑ,Νοέμβριος,101,41
111,ΨΩΜΙ ΚΑΙ ΔΗΜΗΤΡΙΑΚΑ,Δεκέμβριος,102,51
111,ΨΩΜΙ ΚΑΙ ΔΗΜΗΤΡΙΑΚΑ,ΕΤΗΣΙΟΣ,99,26
1121,ΜΟΣΧΑΡΙ,W%0,16,17
1121,ΜΟΣΧΑΡΙ,Ιανουάριος,103,74
1121,ΜΟΣΧΑΡΙ,Φεβρουάριος,103,21
1121,ΜΟΣΧΑΡΙ,Μάρτιος,103,13
1121,ΜΟΣΧΑΡΙ,Απρίλιος,102,61
1121,ΜΟΣΧΑΡΙ,Μάιος,102,64
1121,ΜΟΣΧΑΡΙ,Ιούνιος,102,51
1121,ΜΟΣΧΑΡΙ,Ιούλιος,102,72
1121,ΜΟΣΧΑΡΙ,Αύγουστος,102,16
1121,ΜΟΣΧΑΡΙ,Σεπτέμβριος,103,6
1121,ΜΟΣΧΑΡΙ,Οκτώβριος,103,43
1121,ΜΟΣΧΑΡΙ,Νοέμβριος,104,15
1121,ΜΟΣΧΑΡΙ,Δεκέμβριος,106,58
1121,ΜΟΣΧΑΡΙ,ΕΤΗΣΙΟΣ,103,33
1122,XOIPINO,W%0,7,42
1122,XOIPINO,Ιανουάριος,104,52
1122,XOIPINO,Φεβρουάριος,103,34
1122,XOIPINO,Μάρτιος,103,15
1122,XOIPINO,Απρίλιος,101,17
1122,XOIPINO,Μάιος,100,81
1122,XOIPINO,Ιούνιος,102,56
1122,XOIPINO,Ιούλιος,101,65
1122,XOIPINO,Αύγουστος,103,44
1122,XOIPINO,Σεπτέμβριος,102,80
1122,XOIPINO,Οκτώβριος,101,16
