TIME;Gross consolidated debt of General Government (2024q4);INSTR_ASSETS_CLASSIFICATION;ORIG_MATURITY;CONTROL;Value
2013-Q4;Short-term;F4;S;9;2164
2013-Q4;Long-term;F4;L;10;238052
2014-Q1;Total Maastricht debt;GD;T;1=2+5+8;319971
2014-Q1;Currency and deposits;F2;T;2=3+4;6041
2014-Q1;Currency;F21;_Z;3;0
2014-Q1;Deposits;F2M;T;4;6041
2014-Q1;Debt securities;F3;T;5=6+7;77360
2014-Q1;Short-term;F3;S;6;11285
2014-Q1;Long-term;F3;L;7;66075
2014-Q1;Loans;F4;T;8=9+10;236570
2014-Q1;Short-term;F4;S;9;477
2014-Q1;Long-term;F4;L;10;236093
2014-Q2;Total Maastricht debt;GD;T;1=2+5+8;322055
2014-Q2;Currency and deposits;F2;T;2=3+4;6121
2014-Q2;Currency;F21;_Z;3;0
2014-Q2;Deposits;F2M;T;4;6121
2014-Q2;Debt securities;F3;T;5=6+7;72298
2014-Q2;Short-term;F3;S;6;12681
2014-Q2;Long-term;F3;L;7;59617
2014-Q2;Loans;F4;T;8=9+10;243636
2014-Q2;Short-term;F4;S;9;486
2014-Q2;Long-term;F4;L;10;243150
2014-Q3;Total Maastricht debt;GD;T;1=2+5+8;319175
2014-Q3;Currency and deposits;F2;T;2=3+4;6285
2014-Q3;Currency;F21;_Z;3;0
2014-Q3;Deposits;F2M;T;4;6285
2014-Q3;Debt securities;F3;T;5=6+7;68997
2014-Q3;Short-term;F3;S;6;11581
2014-Q3;Long-term;F3;L;7;57416
2014-Q3;Loans;F4;T;8=9+10;243893
2014-Q3;Short-term;F4;S;9;560
2014-Q3;Long-term;F4;L;10;243333
2014-Q4;Total Maastricht debt;GD;T;1=2+5+8;319629
2014-Q4;Currency and deposits;F2;T;2=3+4;6374
2014-Q4;Currency;F21;_Z;3;0
2014-Q4;Deposits;F2M;T;4;6374
2014-Q4;Debt securities;F3;T;5=6+7;69466
2014-Q4;Short-term;F3;S;6;12190
2014-Q4;Long-term;F3;L;7;57276
2014-Q4;Loans;F4;T;8=9+10;243789
2014-Q4;Short-term;F4;S;9;2370
2014-Q4;Long-term;F4;L;10;241419
2015-Q1;Total Maastricht debt;GD;T;1=2+5+8;303363
2015-Q1;Currency and deposits;F2;T;2=3+4;5832
2015-Q1;Currency;F21;_Z;3;0
2015-Q1;Deposits;F2M;T;4;5832
2015-Q1;Debt securities;F3;T;5=6+7;68637
2015-Q1;Short-term;F3;S;6;11508
2015-Q1;Long-term;F3;L;7;57129
2015-Q1;Loans;F4;T;8=9+10;228894
2015-Q1;Short-term;F4;S;9;719
2015-Q1;Long-term;F4;L;10;228175
2015-Q2;Total Maastricht debt;GD;T;1=2+5+8;301980
2015-Q2;Currency and deposits;F2;T;2=3+4;5500
2015-Q2;Currency;F21;_Z;3;0
2015-Q2;Deposits;F2M;T;4;5500
2015-Q2;Debt securities;F3;T;5=6+7;68208
2015-Q2;Short-term;F3;S;6;11096
2015-Q2;Long-term;F3;L;7;57112
2015-Q2;Loans;F4;T;8=9+10;228272
2015-Q2;Short-term;F4;S;9;703
2015-Q2;Long-term;F4;L;10;227569
2015-Q3;Total Maastricht debt;GD;T;1=2+5+8;303907
2015-Q3;Currency and deposits;F2;T;2=3+4;5484
2015-Q3;Currency;F21;_Z;3;0
2015-Q3;Deposits;F2M;T;4;5484
2015-Q3;Debt securities;F3;T;5=6+7;61051
2015-Q3;Short-term;F3;S;6;10699
2015-Q3;Long-term;F3;L;7;50352
2015-Q3;Loans;F4;T;8=9+10;237372
2015-Q3;Short-term;F4;S;9;597
2015-Q3;Long-term;F4;L;10;236775
2015-Q4;Total Maastricht debt;GD;T;1=2+5+8;311729
2015-Q4;Currency and deposits;F2;T;2=3+4;5546
2015-Q4;Currency;F21;_Z;3;0
2015-Q4;Deposits;F2M;T;4;5546
2015-Q4;Debt securities;F3;T;5=6+7;61084
2015-Q4;Short-term;F3;S;6;10884
2015-Q4;Long-term;F3;L;7;50200
2015-Q4;Loans;F4;T;8=9+10;245099
2015-Q4;Short-term;F4;S;9;1509
2015-Q4;Long-term;F4;L;10;243590
2016-Q1;Total Maastricht debt;GD;T;1=2+5+8;309104
2016-Q1;Currency and deposits;F2;T;2=3+4;5863
2016-Q1;Currency;F21;_Z;3;0
2016-Q1;Deposits;F2M;T;4;5863
2016-Q1;Debt securities;F3;T;5=6+7;60968
2016-Q1;Short-term;F3;S;6;10828
2016-Q1;Long-term;F3;L;7;50140
2016-Q1;Loans;F4;T;8=9+10;242273
2016-Q1;Short-term;F4;S;9;478
2016-Q1;Long-term;F4;L;10;241795
2016-Q2;Total Maastricht debt;GD;T;1=2+5+8;315274
2016-Q2;Currency and deposits;F2;T;2=3+4;5881
2016-Q2;Currency;F21;_Z;3;0
2016-Q2;Deposits;F2M;T;4;5881
2016-Q2;Debt securities;F3;T;5=6+7;60639
2016-Q2;Short-term;F3;S;6;10739
2016-Q2;Long-term;F3;L;7;49900
2016-Q2;Loans;F4;T;8=9+10;248754
2016-Q2;Short-term;F4;S;9;641
2016-Q2;Long-term;F4;L;10;248113
2016-Q3;Total Maastricht debt;GD;T;1=2+5+8;311151
2016-Q3;Currency and deposits;F2;T;2=3+4;5871
2016-Q3;Currency;F21;_Z;3;0
2016-Q3;Deposits;F2M;T;4;5871
2016-Q3;Debt securities;F3;T;5=6+7;57864
2016-Q3;Short-term;F3;S;6;10580
2016-Q3;Long-term;F3;L;7;47284
2016-Q3;Loans;F4;T;8=9+10;247416
2016-Q3;Short-term;F4;S;9;584
2016-Q3;Long-term;F4;L;10;246832
2016-Q4;Total Maastricht debt;GD;T;1=2+5+8;315012
2016-Q4;Currency and deposits;F2;T;2=3+4;5987
2016-Q4;Currency;F21;_Z;3;0
2016-Q4;Deposits;F2M;T;4;5987
2016-Q4;Debt securities;F3;T;5=6+7;57162
2016-Q4;Short-term;F3;S;6;10087
2016-Q4;Long-term;F3;L;7;47075
2016-Q4;Loans;F4;T;8=9+10;251863
2016-Q4;Short-term;F4;S;9;2198
2016-Q4;Long-term;F4;L;10;249665
2017-Q1;Total Maastricht debt;GD;T;1=2+5+8;310661
2017-Q1;Currency and deposits;F2;T;2=3+4;5917
2017-Q1;Currency;F21;_Z;3;0
2017-Q1;Deposits;F2M;T;4;5917
2017-Q1;Debt securities;F3;T;5=6+7;56732
2017-Q1;Short-term;F3;S;6;10116
2017-Q1;Long-term;F3;L;7;46616
2017-Q1;Loans;F4;T;8=9+10;248012
2017-Q1;Short-term;F4;S;9;456
2017-Q1;Long-term;F4;L;10;247556
2017-Q2;Total Maastricht debt;GD;T;1=2+5+8;309090
2017-Q2;Currency and deposits;F2;T;2=3+4;6039
2017-Q2;Currency;F21;_Z;3;0
2017-Q2;Deposits;F2M;T;4;6039
2017-Q2;Debt securities;F3;T;5=6+7;56193
2017-Q2;Short-term;F3;S;6;10991
2017-Q2;Long-term;F3;L;7;45202
2017-Q2;Loans;F4;T;8=9+10;246858
2017-Q2;Short-term;F4;S;9;421
2017-Q2;Long-term;F4;L;10;246437
2017-Q3;Total Maastricht debt;GD;T;1=2+5+8;313489
2017-Q3;Currency and deposits;F2;T;2=3+4;6064
2017-Q3;Currency;F21;_Z;3;0
2017-Q3;Deposits;F2M;T;4;6064
2017-Q3;Debt securities;F3;T;5=6+7;53765
2017-Q3;Short-term;F3;S;6;13170
2017-Q3;Long-term;F3;L;7;40595
2017-Q3;Loans;F4;T;8=9+10;253660
2017-Q3;Short-term;F4;S;9;297
2017-Q3;Long-term;F4;L;10;253363
2017-Q4;Total Maastricht debt;GD;T;1=2+5+8;317481
2017-Q4;Currency and deposits;F2;T;2=3+4;6008
2017-Q4;Currency;F21;_Z;3;0
2017-Q4;Deposits;F2M;T;4;6008
2017-Q4;Debt securities;F3;T;5=6+7;54938
2017-Q4;Short-term;F3;S;6;14261
2017-Q4;Long-term;F3;L;7;40677
2017-Q4;Loans;F4;T;8=9+10;256535
2017-Q4;Short-term;F4;S;9;2036
2017-Q4;Long-term;F4;L;10;254499
2018-Q1;Total Maastricht debt;GD;T;1=2+5+8;322573
2018-Q1;Currency and deposits;F2;T;2=3+4;5764
2018-Q1;Currency;F21;_Z;3;0
2018-Q1;Deposits;F2M;T;4;5764
2018-Q1;Debt securities;F3;T;5=6+7;56529
2018-Q1;Short-term;F3;S;6;12986
2018-Q1;Long-term;F3;L;7;43543
2018-Q1;Loans;F4;T;8=9+10;260280
2018-Q1;Short-term;F4;S;9;771
2018-Q1;Long-term;F4;L;10;259509
2018-Q2;Total Maastricht debt;GD;T;1=2+5+8;323396
2018-Q2;Currency and deposits;F2;T;2=3+4;5958
2018-Q2;Currency;F21;_Z;3;0
2018-Q2;Deposits;F2M;T;4;5958
2018-Q2;Debt securities;F3;T;5=6+7;56902
2018-Q2;Short-term;F3;S;6;13313
2018-Q2;Long-term;F3;L;7;43589
2018-Q2;Loans;F4;T;8=9+10;260536
2018-Q2;Short-term;F4;S;9;853
2018-Q2;Long-term;F4;L;10;259683
2018-Q3;Total Maastricht debt;GD;T;1=2+5+8;335028
2018-Q3;Currency and deposits;F2;T;2=3+4;6130
2018-Q3;Currency;F21;_Z;3;0
2018-Q3;Deposits;F2M;T;4;6130
2018-Q3;Debt securities;F3;T;5=6+7;54404
2018-Q3;Short-term;F3;S;6;12668
2018-Q3;Long-term;F3;L;7;41736
2018-Q3;Loans;F4;T;8=9+10;274494
2018-Q3;Short-term;F4;S;9;685
2018-Q3;Long-term;F4;L;10;273809
2018-Q4;Total Maastricht debt;GD;T;1=2+5+8;334721
2018-Q4;Currency and deposits;F2;T;2=3+4;6245
2018-Q4;Currency;F21;_Z;3;0
2018-Q4;Deposits;F2M;T;4;6245
2018-Q4;Debt securities;F3;T;5=6+7;52882
2018-Q4;Short-term;F3;S;6;11144
2018-Q4;Long-term;F3;L;7;41738
2018-Q4;Loans;F4;T;8=9+10;275594
2018-Q4;Short-term;F4;S;9;2241
2018-Q4;Long-term;F4;L;10;273353
2019-Q1;Total Maastricht debt;GD;T;1=2+5+8;337410
2019-Q1;Currency and deposits;F2;T;2=3+4;6278
2019-Q1;Currency;F21;_Z;3;0
2019-Q1;Deposits;F2M;T;4;6278
2019-Q1;Debt securities;F3;T;5=6+7;61493
2019-Q1;Short-term;F3;S;6;11591
2019-Q1;Long-term;F3;L;7;49902
2019-Q1;Loans;F4;T;8=9+10;269639
2019-Q1;Short-term;F4;S;9;810
2019-Q1;Long-term;F4;L;10;268829
2019-Q2;Total Maastricht debt;GD;T;1=2+5+8;335564
2019-Q2;Currency and deposits;F2;T;2=3+4;6336
2019-Q2;Currency;F21;_Z;3;0
2019-Q2;Deposits;F2M;T;4;6336
2019-Q2;Debt securities;F3;T;5=6+7;60860
2019-Q2;Short-term;F3;S;6;13024
2019-Q2;Long-term;F3;L;7;47836
2019-Q2;Loans;F4;T;8=9+10;268368
2019-Q2;Short-term;F4;S;9;697
2019-Q2;Long-term;F4;L;10;267671
2019-Q3;Total Maastricht debt;GD;T;1=2+5+8;334331
2019-Q3;Currency and deposits;F2;T;2=3+4;6539
2019-Q3;Currency;F21;_Z;3;0
2019-Q3;Deposits;F2M;T;4;6539
2019-Q3;Debt securities;F3;T;5=6+7;60118
2019-Q3;Short-term;F3;S;6;13542
2019-Q3;Long-term;F3;L;7;46576
2019-Q3;Loans;F4;T;8=9+10;267674
2019-Q3;Short-term;F4;S;9;629
2019-Q3;Long-term;F4;L;10;267045
2019-Q4;Total Maastricht debt;GD;T;1=2+5+8;331144
2019-Q4;Currency and deposits;F2;T;2=3+4;6635
2019-Q4;Currency;F21;_Z;3;0
2019-Q4;Deposits;F2M;T;4;6635
2019-Q4;Debt securities;F3;T;5=6+7;57854
2019-Q4;Short-term;F3;S;6;11752
2019-Q4;Long-term;F3;L;7;46102
2019-Q4;Loans;F4;T;8=9+10;266655
2019-Q4;Short-term;F4;S;9;2267
2019-Q4;Long-term;F4;L;10;264388
2020-Q1;Total Maastricht debt;GD;T;1=2+5+8;330069
2020-Q1;Currency and deposits;F2;T;2=3+4;6416
2020-Q1;Currency;F21;_Z;3;0
2020-Q1;Deposits;F2M;T;4;6416
2020-Q1;Debt securities;F3;T;5=6+7;57792
2020-Q1;Short-term;F3;S;6;9156
2020-Q1;Long-term;F3;L;7;48636
2020-Q1;Loans;F4;T;8=9+10;265861
2020-Q1;Short-term;F4;S;9;1097
2020-Q1;Long-term;F4;L;10;264764
2020-Q2;Total Maastricht debt;GD;T;1=2+5+8;334314
2020-Q2;Currency and deposits;F2;T;2=3+4;6539
2020-Q2;Currency;F21;_Z;3;0
2020-Q2;Deposits;F2M;T;4;6539
2020-Q2;Debt securities;F3;T;5=6+7;62908
2020-Q2;Short-term;F3;S;6;10819
2020-Q2;Long-term;F3;L;7;52089
2020-Q2;Loans;F4;T;8=9+10;264867
2020-Q2;Short-term;F4;S;9;797
2020-Q2;Long-term;F4;L;10;264070
2020-Q3;Total Maastricht debt;GD;T;1=2+5+8;338162
2020-Q3;Currency and deposits;F2;T;2=3+4;6428
2020-Q3;Currency;F21;_Z;3;0
2020-Q3;Deposits;F2M;T;4;6428
2020-Q3;Debt securities;F3;T;5=6+7;66698
2020-Q3;Short-term;F3;S;6;12117
2020-Q3;Long-term;F3;L;7;54581
2020-Q3;Loans;F4;T;8=9+10;265036
2020-Q3;Short-term;F4;S;9;1234
2020-Q3;Long-term;F4;L;10;263802
2020-Q4;Total Maastricht debt;GD;T;1=2+5+8;341588
2020-Q4;Currency and deposits;F2;T;2=3+4;6655
2020-Q4;Currency;F21;_Z;3;0
2020-Q4;Deposits;F2M;T;4;6655
2020-Q4;Debt securities;F3;T;5=6+7;67187
2020-Q4;Short-term;F3;S;6;11122
2020-Q4;Long-term;F3;L;7;56065
2020-Q4;Loans;F4;T;8=9+10;267746
2020-Q4;Short-term;F4;S;9;2250
2020-Q4;Long-term;F4;L;10;265496
2021-Q1;Total Maastricht debt;GD;T;1=2+5+8;344705
2021-Q1;Currency and deposits;F2;T;2=3+4;6727
2021-Q1;Currency;F21;_Z;3;0
2021-Q1;Deposits;F2M;T;4;6727
2021-Q1;Debt securities;F3;T;5=6+7;74814
2021-Q1;Short-term;F3;S;6;11452
2021-Q1;Long-term;F3;L;7;63362
2021-Q1;Loans;F4;T;8=9+10;263164
2021-Q1;Short-term;F4;S;9;934
2021-Q1;Long-term;F4;L;10;262230
2021-Q2;Total Maastricht debt;GD;T;1=2+5+8;354540
2021-Q2;Currency and deposits;F2;T;2=3+4;6754
2021-Q2;Currency;F21;_Z;3;0
2021-Q2;Deposits;F2M;T;4;6754
2021-Q2;Debt securities;F3;T;5=6+7;80252
2021-Q2;Short-term;F3;S;6;11472
2021-Q2;Long-term;F3;L;7;68780
2021-Q2;Loans;F4;T;8=9+10;267534
2021-Q2;Short-term;F4;S;9;3771
2021-Q2;Long-term;F4;L;10;263763
2021-Q3;Total Maastricht debt;GD;T;1=2+5+8;357791
2021-Q3;Currency and deposits;F2;T;2=3+4;6797
2021-Q3;Currency;F21;_Z;3;0
2021-Q3;Deposits;F2M;T;4;6797
2021-Q3;Debt securities;F3;T;5=6+7;82748
2021-Q3;Short-term;F3;S;6;11532
2021-Q3;Long-term;F3;L;7;71216
2021-Q3;Loans;F4;T;8=9+10;268246
2021-Q3;Short-term;F4;S;9;3590
2021-Q3;Long-term;F4;L;10;264656
2021-Q4;Total Maastricht debt;GD;T;1=2+5+8;353910
2021-Q4;Currency and deposits;F2;T;2=3+4;6757
2021-Q4;Currency;F21;_Z;3;0
2021-Q4;Deposits;F2M;T;4;6757
2021-Q4;Debt securities;F3;T;5=6+7;80998
2021-Q4;Short-term;F3;S;6;10811
2021-Q4;Long-term;F3;L;7;70187
2021-Q4;Loans;F4;T;8=9+10;266155
2021-Q4;Short-term;F4;S;9;2049
2021-Q4;Long-term;F4;L;10;264106
2022-Q1;Total Maastricht debt;GD;T;1=2+5+8;358161
2022-Q1;Currency and deposits;F2;T;2=3+4;6829
2022-Q1;Currency;F21;_Z;3;0
2022-Q1;Deposits;F2M;T;4;6829
2022-Q1;Debt securities;F3;T;5=6+7;84043
2022-Q1;Short-term;F3;S;6;10948
2022-Q1;Long-term;F3;L;7;73095
2022-Q1;Loans;F4;T;8=9+10;267289
2022-Q1;Short-term;F4;S;9;3778
2022-Q1;Long-term;F4;L;10;263511
2022-Q2;Total Maastricht debt;GD;T;1=2+5+8;359586
2022-Q2;Currency and deposits;F2;T;2=3+4;7136
2022-Q2;Currency;F21;_Z;3;0
2022-Q2;Deposits;F2M;T;4;7136
2022-Q2;Debt securities;F3;T;5=6+7;86678
2022-Q2;Short-term;F3;S;6;11251
2022-Q2;Long-term;F3;L;7;75427
2022-Q2;Loans;F4;T;8=9+10;265772
2022-Q2;Short-term;F4;S;9;3647
2022-Q2;Long-term;F4;L;10;262125
2022-Q3;Total Maastricht debt;GD;T;1=2+5+8;357925
2022-Q3;Currency and deposits;F2;T;2=3+4;7467
2022-Q3;Currency;F21;_Z;3;0
2022-Q3;Deposits;F2M;T;4;7467
2022-Q3;Debt securities;F3;T;5=6+7;85211
2022-Q3;Short-term;F3;S;6;11181
2022-Q3;Long-term;F3;L;7;74030
2022-Q3;Loans;F4;T;8=9+10;265247
2022-Q3;Short-term;F4;S;9;3800
2022-Q3;Long-term;F4;L;10;261447
2022-Q4;Total Maastricht debt;GD;T;1=2+5+8;356796
2022-Q4;Currency and deposits;F2;T;2=3+4;7248
2022-Q4;Currency;F21;_Z;3;0
2022-Q4;Deposits;F2M;T;4;7248
2022-Q4;Debt securities;F3;T;5=6+7;85246
2022-Q4;Short-term;F3;S;6;11089
2022-Q4;Long-term;F3;L;7;74157
2022-Q4;Loans;F4;T;8=9+10;264302
2022-Q4;Short-term;F4;S;9;5391
2022-Q4;Long-term;F4;L;10;258911
2023-Q1;Total Maastricht debt;GD;T;1=2+5+8;355732
2023-Q1;Currency and deposits;F2;T;2=3+4;6890
2023-Q1;Currency;F21;_Z;3;0
2023-Q1;Deposits;F2M;T;4;6890
2023-Q1;Debt securities;F3;T;5=6+7;85502
2023-Q1;Short-term;F3;S;6;11168
2023-Q1;Long-term;F3;L;7;74334
2023-Q1;Loans;F4;T;8=9+10;263340
2023-Q1;Short-term;F4;S;9;4052
2023-Q1;Long-term;F4;L;10;259288
2023-Q2;Total Maastricht debt;GD;T;1=2+5+8;358137
2023-Q2;Currency and deposits;F2;T;2=3+4;6850
2023-Q2;Currency;F21;_Z;3;0
2023-Q2;Deposits;F2M;T;4;6850
2023-Q2;Debt securities;F3;T;5=6+7;88941
2023-Q2;Short-term;F3;S;6;11227
2023-Q2;Long-term;F3;L;7;77714
2023-Q2;Loans;F4;T;8=9+10;262346
2023-Q2;Short-term;F4;S;9;3755
2023-Q2;Long-term;F4;L;10;258591
2023-Q3;Total Maastricht debt;GD;T;1=2+5+8;360275
2023-Q3;Currency and deposits;F2;T;2=3+4;7150
2023-Q3;Currency;F21;_Z;3;0
2023-Q3;Deposits;F2M;T;4;7150
2023-Q3;Debt securities;F3;T;5=6+7;91321
2023-Q3;Short-term;F3;S;6;11208
2023-Q3;Long-term;F3;L;7;80113
2023-Q3;Loans;F4;T;8=9+10;261804
2023-Q3;Short-term;F4;S;9;3684
2023-Q3;Long-term;F4;L;10;258120
2023-Q4;Total Maastricht debt;GD;T;1=2+5+8;356695
2023-Q4;Currency and deposits;F2;T;2=3+4;7239
2023-Q4;Currency;F21;_Z;3;0
2023-Q4;Deposits;F2M;T;4;7239
2023-Q4;Debt securities;F3;T;5=6+7;92039
2023-Q4;Short-term;F3;S;6;11339
2023-Q4;Long-term;F3;L;7;80700
2023-Q4;Loans;F4;T;8=9+10;257417
2023-Q4;Short-term;F4;S;9;2686
2023-Q4;Long-term;F4;L;10;254731
