Κωδικός,Προϊόν,W%-Μήνας-Ετήσιο,ΔΤΚ,
1111,PYZI,W%0,2,66
1111,PYZI,Ιανουάριος,102,22
1111,PYZI,Φεβρουάριος,102,93
1111,PYZI,Μάρτιος,103,21
1111,PYZI,Απρίλιος,103,6
1111,PYZI,Μάιος,104,23
1111,PYZI,Ιούνιος,104,26
1111,PYZI,Ιούλιος,104,23
1111,PYZI,Αύγουστος,105,12
1111,PYZI,Σεπτέμβριος,104,89
1111,PYZI,Οκτώβριος,105,49
1111,PYZI,Νοέμβριος,106,13
1111,PYZI,Δεκέμβριος,105,61
1111,PYZI,ΕΤΗΣΙΟΣ,104,28
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,W%0,1,52
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,Ιανουάριος,105,32
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,Φεβρουάριος,107,28
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,Μάρτιος,106,19
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,Απρίλιος,107,11
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,Μάιος,109,44
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,Ιούνιος,109,70
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,Ιούλιος,109,24
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,Αύγουστος,111,26
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,Σεπτέμβριος,111,21
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,Οκτώβριος,111,21
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,Νοέμβριος,109,79
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,Δεκέμβριος,105,5
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,ΕΤΗΣΙΟΣ,108,57
1113,ΨΩΜΙ,W%0,18,50
1113,ΨΩΜΙ,Ιανουάριος,96,93
1113,ΨΩΜΙ,Φεβρουάριος,97,2
1113,ΨΩΜΙ,Μάρτιος,96,92
1113,ΨΩΜΙ,Απρίλιος,96,78
1113,ΨΩΜΙ,Μάιος,96,71
1113,ΨΩΜΙ,Ιούνιος,96,89
1113,ΨΩΜΙ,Ιούλιος,96,56
1113,ΨΩΜΙ,Αύγουστος,96,60
1113,ΨΩΜΙ,Σεπτέμβριος,96,75
1113,ΨΩΜΙ,Οκτώβριος,96,48
1113,ΨΩΜΙ,Νοέμβριος,96,60
1113,ΨΩΜΙ,Δεκέμβριος,96,68
1113,ΨΩΜΙ,ΕΤΗΣΙΟΣ,96,74
1114,ΑΛΛΑ ΠΡΟΪΟΝΤΑ ΑΡΤΟΠΟΙΪΑΣ & ΖΑΧΑΡΟΠΛΑΣΤΙΚΗΣ,W%0,6,35
1114,ΑΛΛΑ ΠΡΟΪΟΝΤΑ ΑΡΤΟΠΟΙΪΑΣ & ΖΑΧΑΡΟΠΛΑΣΤΙΚΗΣ,Ιανουάριος,96,34
1114,ΑΛΛΑ ΠΡΟΪΟΝΤΑ ΑΡΤΟΠΟΙΪΑΣ & ΖΑΧΑΡΟΠΛΑΣΤΙΚΗΣ,Φεβρουάριος,96,1
1114,ΑΛΛΑ ΠΡΟΪΟΝΤΑ ΑΡΤΟΠΟΙΪΑΣ & ΖΑΧΑΡΟΠΛΑΣΤΙΚΗΣ,Μάρτιος,95,49
1114,ΑΛΛΑ ΠΡΟΪΟΝΤΑ ΑΡΤΟΠΟΙΪΑΣ & ΖΑΧΑΡΟΠΛΑΣΤΙΚΗΣ,Απρίλιος,96,37
1114,ΑΛΛΑ ΠΡΟΪΟΝΤΑ ΑΡΤΟΠΟΙΪΑΣ & ΖΑΧΑΡΟΠΛΑΣΤΙΚΗΣ,Μάιος,95,91
1114,ΑΛΛΑ ΠΡΟΪΟΝΤΑ ΑΡΤΟΠΟΙΪΑΣ & ΖΑΧΑΡΟΠΛΑΣΤΙΚΗΣ,Ιούνιος,94,38
1114,ΑΛΛΑ ΠΡΟΪΟΝΤΑ ΑΡΤΟΠΟΙΪΑΣ & ΖΑΧΑΡΟΠΛΑΣΤΙΚΗΣ,Ιούλιος,95,81
1114,ΑΛΛΑ ΠΡΟΪΟΝΤΑ ΑΡΤΟΠΟΙΪΑΣ & ΖΑΧΑΡΟΠΛΑΣΤΙΚΗΣ,Αύγουστος,94,49
1114,ΑΛΛΑ ΠΡΟΪΟΝΤΑ ΑΡΤΟΠΟΙΪΑΣ & ΖΑΧΑΡΟΠΛΑΣΤΙΚΗΣ,Σεπτέμβριος,96,15
1114,ΑΛΛΑ ΠΡΟΪΟΝΤΑ ΑΡΤΟΠΟΙΪΑΣ & ΖΑΧΑΡΟΠΛΑΣΤΙΚΗΣ,Οκτώβριος,96,11
1114,ΑΛΛΑ ΠΡΟΪΟΝΤΑ ΑΡΤΟΠΟΙΪΑΣ & ΖΑΧΑΡΟΠΛΑΣΤΙΚΗΣ,Νοέμβριος,96,31
1114,ΑΛΛΑ ΠΡΟΪΟΝΤΑ ΑΡΤΟΠΟΙΪΑΣ & ΖΑΧΑΡΟΠΛΑΣΤΙΚΗΣ,Δεκέμβριος,96,53
1114,ΑΛΛΑ ΠΡΟΪΟΝΤΑ ΑΡΤΟΠΟΙΪΑΣ & ΖΑΧΑΡΟΠΛΑΣΤΙΚΗΣ,ΕΤΗΣΙΟΣ,95,83
1115,ΠΙΤΣΕΣ ΚΑΙ ΠΙΤΕΣ,W%0,2,0
